objid,ra,frame,snr,cdist,reason
1237678619028422934,0.0111421160928558,7717/4/329,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237672795032125567,0.0705536869491823,6361/4/14,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237657190905217611,0.0833057349241244,2728/3/413,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237657190905217162,359.952164278473,2728/3/413,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237678920741552446,359.976626850038,7787/6/202,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237657190905217364,359.963045252497,2728/3/413,0.0,11.95,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=11.95px); galaxy fell outside the cutout"
1237663232843252027,0.0460791461757708,4135/1/303,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237679503782051899,0.03435768569949,7923/4/182,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237657192515829977,359.951248396272,2728/6/413,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237657190905217313,0.0869064518716982,2728/3/413,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237657191978959188,0.086471154331889,2728/5/413,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237657191978959473,359.962047979324,2728/5/413,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237678920741552445,359.972701205807,7787/6/202,0.0,99.0,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.0, centroid d=99.00px); galaxy fell outside the cutout"
1237666184037204506,0.0501213950236661,4822/2/525,0.3,10.01,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.3, centroid d=10.01px); galaxy fell outside the cutout"
1237663233915224365,0.0903129540174064,4135/3/276,0.7,8.74,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.7, centroid d=8.74px); galaxy fell outside the cutout"
1237657191978959039,0.002678879890368,2728/5/413,0.9,8.14,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.9, centroid d=8.14px); galaxy fell outside the cutout"
1237663307453628777,0.0389225809815343,4152/4/79,0.9,8.79,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.9, centroid d=8.79px); galaxy fell outside the cutout"
1237663234451244127,0.0380334670131788,4135/4/263,0.9,11.07,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.9, centroid d=11.07px); galaxy fell outside the cutout"
1237657191978959031,359.988813542557,2728/5/413,0.9,11.21,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=0.9, centroid d=11.21px); galaxy fell outside the cutout"
